timestamp,x,y,z,w
1523148936171107,0.0926514,0.287354,-0.738953,-0.602356
1523148936193667,0.0922241,0.286499,-0.739258,-0.602478
1523148936208205,0.0906982,0.286804,-0.739075,-0.602783
1523148936231268,0.0888672,0.287842,-0.73877,-0.602905
1523148936253830,0.0864868,0.289124,-0.738525,-0.603027
1523148936268366,0.0841675,0.289734,-0.738281,-0.603271
1523148936297444,0.0830078,0.290283,-0.738098,-0.603394
1523148936313988,0.0826416,0.290344,-0.738037,-0.603516
1523148936328025,0.0830078,0.289978,-0.738098,-0.603577
1523148936351086,0.0834351,0.289734,-0.738098,-0.603638
1523148936373646,0.0837402,0.289551,-0.738159,-0.603638
1523148936388687,0.0836182,0.289185,-0.738403,-0.603516
1523148936418767,0.0831299,0.288879,-0.738708,-0.603271
1523148936433805,0.0825806,0.289063,-0.738892,-0.603088
1523148936448346,0.0821533,0.289185,-0.738953,-0.603027
1523148936471407,0.0820923,0.289246,-0.738892,-0.603027
1523148936494467,0.0820923,0.289246,-0.738892,-0.603027
1523148936508006,0.0821533,0.289124,-0.739075,-0.602905
1523148936531065,0.0822754,0.28894,-0.73938,-0.6026
1523148936553627,0.0818481,0.289246,-0.739807,-0.60199
1523148936568163,0.0807495,0.289001,-0.740173,-0.601746
1523148936591227,0.0795898,0.289429,-0.740417,-0.60144
1523148936613785,0.0800781,0.288269,-0.741028,-0.601196
1523148936634842,0.0809937,0.28656,-0.74176,-0.601013
1523148936651386,0.0827026,0.286194,-0.741821,-0.600891
